Epoch,Train_Net1,Test_Net1,Train_Net2,Test_Net2,Train_Net3,Test_Net3,Train_Net4,Test_Net4,Train_Net5,Test_Net5,Train_Net6,Test_Net6,Train_Net7,Test_Net7,Train_Net8,Test_Net8,Train_Net9,Test_Net9,Train_Net10,Test_Net10
69,0.001742942,0.001753845,0.001896724,0.001913900,0.001845072,0.001862976,0.001917978,0.001931808,0.002507413,0.002520159,0.001535923,0.001534583,0.001786718,0.001797606,0.001688727,0.001687617,0.001727462,0.001746212,0.001727094,0.001749284
70,0.001739538,0.001750356,0.001894526,0.001911937,0.001842547,0.001860109,0.001909682,0.001923483,0.002492692,0.002506392,0.001531383,0.001530537,0.001785166,0.001795744,0.001686937,0.001685724,0.001723515,0.001742147,0.001724167,0.001746220
71,0.001736172,0.001746900,0.001892436,0.001910068,0.001840088,0.001857301,0.001901636,0.001915390,0.002478103,0.002492744,0.001526802,0.001526450,0.001783626,0.001793900,0.001685137,0.001683828,0.001719567,0.001738092,0.001721253,0.001743172
72,0.001732841,0.001743475,0.001890449,0.001908288,0.001837692,0.001854550,0.001893831,0.001907517,0.002463646,0.002479216,0.001522180,0.001522324,0.001782099,0.001792073,0.001683328,0.001681928,0.001715616,0.001734048,0.001718351,0.001740140
73,0.001729544,0.001740080,0.001888556,0.001906589,0.001835355,0.001851851,0.001886257,0.001899857,0.002449323,0.002465810,0.001517518,0.001518159,0.001780584,0.001790263,0.001681507,0.001680022,0.001711663,0.001730013,0.001715461,0.001737122
74,0.001726278,0.001736712,0.001886753,0.001904967,0.001833074,0.001849203,0.001878903,0.001892400,0.002435133,0.002452524,0.001512818,0.001513956,0.001779080,0.001788470,0.001679675,0.001678111,0.001707707,0.001725988,0.001712581,0.001734119
75,0.001723041,0.001733371,0.001885033,0.001903417,0.001830845,0.001846603,0.001871760,0.001885137,0.002421078,0.002439361,0.001508081,0.001509718,0.001777587,0.001786694,0.001677829,0.001676193,0.001703748,0.001721973,0.001709713,0.001731130
76,0.001719832,0.001730055,0.001883391,0.001901932,0.001828666,0.001844049,0.001864819,0.001878060,0.002407158,0.002426320,0.001503309,0.001505446,0.001776104,0.001784933,0.001675971,0.001674267,0.001699787,0.001717966,0.001706855,0.001728155
77,0.001716648,0.001726763,0.001881822,0.001900510,0.001826533,0.001841537,0.001858071,0.001871161,0.002393372,0.002413401,0.001498503,0.001501141,0.001774632,0.001783188,0.001674097,0.001672334,0.001695822,0.001713967,0.001704006,0.001725193
78,0.001713490,0.001723495,0.001880322,0.001899145,0.001824446,0.001839067,0.001851507,0.001864432,0.002379723,0.002400604,0.001493666,0.001496805,0.001773168,0.001781459,0.001672209,0.001670391,0.001691854,0.001709977,0.001701168,0.001722245
79,0.001710354,0.001720248,0.001878886,0.001897834,0.001822400,0.001836637,0.001845119,0.001857865,0.002366210,0.002387931,0.001488799,0.001492440,0.001771714,0.001779744,0.001670305,0.001668439,0.001687883,0.001705995,0.001698338,0.001719309
80,0.001707240,0.001717022,0.001877509,0.001896573,0.001820396,0.001834245,0.001838899,0.001851453,0.002352833,0.002375380,0.001483904,0.001488049,0.001770268,0.001778043,0.001668385,0.001666477,0.001683908,0.001702020,0.001695517,0.001716385
81,0.001704146,0.001713817,0.001876189,0.001895358,0.001818429,0.001831889,0.001832839,0.001845191,0.002339592,0.002362953,0.001478984,0.001483633,0.001768830,0.001776356,0.001666447,0.001664504,0.001679930,0.001698052,0.001692704,0.001713473
82,0.001701073,0.001710631,0.001874922,0.001894187,0.001816500,0.001829568,0.001826932,0.001839069,0.002326487,0.002350648,0.001474041,0.001479195,0.001767399,0.001774682,0.001664492,0.001662519,0.001675948,0.001694091,0.001689900,0.001710573
83,0.001698017,0.001707465,0.001873704,0.001893056,0.001814606,0.001827281,0.001821172,0.001833084,0.002313519,0.002338466,0.001469077,0.001474737,0.001765976,0.001773021,0.001662518,0.001660521,0.001671963,0.001690136,0.001687103,0.001707685
84,0.001694979,0.001704316,0.001872532,0.001891962,0.001812746,0.001825028,0.001815550,0.001827228,0.002300687,0.002326407,0.001464095,0.001470263,0.001764559,0.001771373,0.001660525,0.001658511,0.001667974,0.001686187,0.001684313,0.001704808
85,0.001691958,0.001701186,0.001871403,0.001890904,0.001810918,0.001822806,0.001810060,0.001821495,0.002287991,0.002314470,0.001459098,0.001465773,0.001763148,0.001769736,0.001658511,0.001656488,0.001663981,0.001682243,0.001681531,0.001701941
86,0.001688953,0.001698072,0.001870314,0.001889878,0.001809122,0.001820615,0.001804697,0.001815881,0.002275431,0.002302656,0.001454088,0.001461272,0.001761743,0.001768111,0.001656478,0.001654450,0.001659983,0.001678304,0.001678755,0.001699086
87,0.001685962,0.001694975,0.001869264,0.001888882,0.001807355,0.001818454,0.001799455,0.001810380,0.002263007,0.002290964,0.001449068,0.001456762,0.001760342,0.001766497,0.001654424,0.001652398,0.001655982,0.001674370,0.001675986,0.001696240
88,0.001682986,0.001691894,0.001868248,0.001887914,0.001805618,0.001816323,0.001794327,0.001804986,0.002250718,0.002279393,0.001444041,0.001452247,0.001758946,0.001764893,0.001652348,0.001650330,0.001651977,0.001670440,0.001673222,0.001693405
